state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,Male Population,Male Literacy Rate,urban_population,total,Total Cognizable Offences,Total Non-Bailable Offences
ANDHRA PRADESH,adilabad,2001.0,101.0,60,50,0.0,50.0,46,30,16,16,149,34,175,0,1250958,64.98,660017.0,727.0,727.0,647.0
ANDHRA PRADESH,adilabad,2002.0,100.0,79,37,0.0,37.0,42,32,10,20,174,63,240,0,1250958,64.98,660017.0,834.0,834.0,729.0
ANDHRA PRADESH,adilabad,2003.0,107.0,65,35,0.0,35.0,46,16,30,11,141,39,238,0,1250958,64.98,660017.0,763.0,763.0,678.0
ANDHRA PRADESH,adilabad,2004.0,113.0,83,50,0.0,50.0,48,42,6,14,135,71,296,0,1250958,64.98,660017.0,908.0,908.0,789.0
ANDHRA PRADESH,adilabad,2005.0,108.0,48,53,0.0,53.0,65,46,19,21,144,77,280,0,1250958,64.98,660017.0,914.0,914.0,772.0
ANDHRA PRADESH,adilabad,2006.0,99.0,88,64,0.0,64.0,96,71,25,22,185,107,423,0,1250958,64.98,660017.0,1244.0,1244.0,1041.0
ANDHRA PRADESH,adilabad,2007.0,112.0,61,46,0.0,46.0,83,72,11,21,156,133,335,0,1250958,64.98,660017.0,1076.0,1076.0,860.0
ANDHRA PRADESH,adilabad,2008.0,73.0,82,50,0.0,50.0,41,26,15,5,174,103,355,0,1250958,64.98,660017.0,974.0,974.0,830.0
ANDHRA PRADESH,adilabad,2009.0,85.0,39,67,0.0,67.0,73,56,17,13,192,163,428,0,1250958,64.98,660017.0,1200.0,1200.0,964.0
ANDHRA PRADESH,adilabad,2010.0,98.0,90,48,0.0,48.0,55,48,7,18,133,155,429,0,1250958,64.98,660017.0,1129.0,1129.0,919.0
ANDHRA PRADESH,adilabad,2011.0,109.0,94,84,0.0,84.0,77,70,7,20,112,142,429,0,1250958,64.98,660017.0,1228.0,1228.0,1009.0
ANDHRA PRADESH,adilabad,2012.0,81.0,80,88,0.0,88.0,82,61,21,7,90,155,498,0,1250958,64.98,660017.0,1251.0,1251.0,1014.0
ANDHRA PRADESH,anantapur,2001.0,151.0,125,23,0.0,23.0,53,30,23,7,118,24,154,0,1859588,68.38,919563.0,731.0,731.0,654.0
ANDHRA PRADESH,anantapur,2002.0,166.0,113,28,0.0,28.0,65,49,16,9,179,37,151,0,1859588,68.38,919563.0,841.0,841.0,739.0
ANDHRA PRADESH,anantapur,2003.0,173.0,115,19,0.0,19.0,60,45,15,4,224,45,146,0,1859588,68.38,919563.0,865.0,865.0,760.0
ANDHRA PRADESH,anantapur,2004.0,152.0,79,20,0.0,20.0,51,31,20,11,196,50,147,0,1859588,68.38,919563.0,777.0,777.0,676.0
ANDHRA PRADESH,anantapur,2005.0,172.0,125,16,0.0,16.0,60,30,30,12,173,57,137,0,1859588,68.38,919563.0,828.0,828.0,711.0
ANDHRA PRADESH,anantapur,2006.0,184.0,116,16,0.0,16.0,67,32,35,16,187,11,189,0,1859588,68.38,919563.0,869.0,869.0,791.0
ANDHRA PRADESH,anantapur,2007.0,149.0,85,31,0.0,31.0,87,35,52,14,176,194,0,0,1859588,68.38,919563.0,854.0,854.0,573.0
ANDHRA PRADESH,anantapur,2008.0,154.0,80,37,0.0,37.0,90,36,54,12,133,132,0,0,1859588,68.38,919563.0,765.0,765.0,543.0
ANDHRA PRADESH,anantapur,2009.0,140.0,78,22,0.0,22.0,68,60,8,14,157,13,143,0,1859588,68.38,919563.0,725.0,725.0,644.0
ANDHRA PRADESH,anantapur,2010.0,137.0,101,20,0.0,20.0,81,60,21,20,132,35,250,0,1859588,68.38,919563.0,877.0,877.0,761.0
ANDHRA PRADESH,anantapur,2011.0,171.0,108,16,0.0,16.0,83,83,0,36,156,16,198,0,1859588,68.38,919563.0,883.0,883.0,784.0
ANDHRA PRADESH,anantapur,2012.0,173.0,123,18,0.0,18.0,74,63,11,19,195,8,130,0,1859588,68.38,919563.0,832.0,832.0,750.0
ANDHRA PRADESH,anantapur,2015.0,,15,32,0.0,,9,57,14,12,325,8,276,0,1859588,68.38,919563.0,748.0,748.0,731.0
ANDHRA PRADESH,anantapur,2019.0,1.0,24,83,0.0,0.0,3,45,0,11,340,70,394,0,1859588,68.38,919563.0,971.0,971.0,898.0
ANDHRA PRADESH,chittoor,2001.0,101.0,57,27,0.0,27.0,59,34,25,14,112,83,186,0,1889690,77.62,811030.0,725.0,725.0,583.0
ANDHRA PRADESH,chittoor,2002.0,105.0,66,28,0.0,28.0,67,39,28,16,126,40,188,0,1889690,77.62,811030.0,731.0,731.0,624.0
ANDHRA PRADESH,chittoor,2003.0,109.0,80,36,0.0,36.0,90,34,56,23,121,173,60,0,1889690,77.62,811030.0,818.0,818.0,555.0
ANDHRA PRADESH,chittoor,2004.0,105.0,52,28,0.0,28.0,69,27,42,22,116,197,234,0,1889690,77.62,811030.0,920.0,920.0,654.0
ANDHRA PRADESH,chittoor,2005.0,105.0,40,35,0.0,35.0,72,58,14,9,91,223,202,0,1889690,77.62,811030.0,884.0,884.0,589.0
ANDHRA PRADESH,chittoor,2006.0,126.0,59,31,0.0,31.0,65,37,28,18,123,190,249,0,1889690,77.62,811030.0,957.0,957.0,702.0
ANDHRA PRADESH,chittoor,2007.0,129.0,72,31,0.0,31.0,102,47,55,25,118,197,395,0,1889690,77.62,811030.0,1202.0,1202.0,903.0
ANDHRA PRADESH,chittoor,2008.0,123.0,65,30,0.0,30.0,84,57,27,26,104,250,288,0,1889690,77.62,811030.0,1084.0,1084.0,750.0
