state,District,persons,Male,Female,rural,Person lit_rate,Male lit_Rate,Female lit_Rate,Tempworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,Religion3,religion3 Population,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
ANdaman,Nicobars,314084,170319,143765,197886,82.49,87.36,76.62,166631,100683,15948,197453,1.Hindus,235862,2.Christians,49033,3.Muslims,27134,331.0,331.0,233.0,185.0,102
ANdaman,Nicobars,42068,22653,19415,42068,72.35,78.55,65.01,19623,12924,6699,22445,1.Christians,28145,2.Hindus,10727,3.Muslims,2131,170.0,169.0,96.0,53.0,38
Andhra,Adilabad,2488003,1250958,1237045,1827986,52.68,64.98,40.3,1423248,912287,210961,1364755,,2207843,,236844,,24392,1586.0,1585.0,1585.0,1521.0,976
Andhra,Nizamabad,2345685,1162905,1182780,1920947,52.02,64.91,39.48,1159606,971911,187695,1186079,1.Hindus,1983275,2.Muslims,338824,3.Christians,16204,854.0,854.0,854.0,839.0,614
Andhra,Karimnagar,3491822,1747968,1743854,2813010,54.9,67.09,42.75,1711559,1458954,252605,1780263,1.Hindus,3251834,2.Muslims,213811,3.Christians,20576,1047.0,1047.0,1047.0,1039.0,863
Andhra,Medak,2670097,1352446,1317651,2286573,51.65,64.33,38.66,1293657,1060051,233606,1376440,1.Hindus,2334169,2.Muslims,296486,3.Christians,34651,1225.0,1225.0,1225.0,1215.0,659
Andhra,Hyderabad,3829753,1981173,1848580,-,78.8,83.74,73.5,1119842,1032298,87544,2709911,1.Hindus,2121963,2.Muslims,1576583,3.Christians,92915,,,,,
Andhra,secundarabad,3575064,1839227,1735837,1637227,66.16,75.26,56.49,1437606,1264403,173203,2137458,1.Hindus,3063118,2.Muslims,408281,3.Christians,89893,860.0,860.0,858.0,839.0,422
Andhra,Mahbubnagar,3513934,1782340,1731594,3142579,44.41,56.63,31.89,1823329,1482426,340903,1690605,1.Hindus,3193932,2.Muslims,296975,3.Christians,18800,1477.0,1475.0,1477.0,1456.0,881
Andhra,Nalgonda,3247982,1651990,1595992,2815304,57.15,69.23,44.68,1594666,1308907,285759,1653316,1.Hindus,3040212,2.Muslims,170553,3.Christians,32452,1124.0,1124.0,1124.0,1098.0,872
