,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
0,assam,barpeta,2001.0,64,5,28,0,28,105,88,17,10,29,0,95,0,1647201,848578,798623,18.53,1520333,941.0,123266,56.24,64.83,47.07,517088,408537,108551,1130113,1.Hindus,977943,2.Muslims,662066,3.Christians,5267,1050.0,1050.0,775.0,967.0,430
1,assam,bongaigaon,2001.0,45,22,20,0,20,36,21,15,1,22,0,26,0,904835,465240,439595,12.23,795053,945.0,110696,59.33,67.67,50.44,293243,233087,60156,611592,1.Hindus,535464,2.Muslims,348573,3.Christians,18728,881.0,881.0,607.0,805.0,112
2,assam,cachar,2001.0,52,30,45,0,45,104,74,30,7,80,0,216,0,1444921,743042,701879,18.66,1243534,945.0,18631,67.82,75.73,59.41,465734,364814,100920,979187,1.Hindus,886761,2.Muslims,522051,3.Christians,31306,1020.0,1020.0,741.0,902.0,134
3,assam,darrang,2001.0,61,13,48,0,48,64,47,17,9,56,0,37,0,1504320,773861,730459,15.79,1429492,944.0,249861,55.44,63.91,46.4,527993,404428,123565,976327,1.Hindus,868532,2.Muslims,534658,3.Christians,97306,1319.0,1319.0,1032.0,1246.0,356
4,assam,dhemaji,2001.0,15,16,42,0,42,31,20,11,0,26,0,0,0,571944,294643,277301,18.93,533112,941.0,270496,64.48,74.41,53.86,250146,155431,94715,321798,1.Hindus,548780,2.Muslims,10533,3.Christians,6390,1236.0,1236.0,253.0,1068.0,83
5,assam,dhubri,2001.0,65,23,43,0,43,69,51,18,5,49,0,111,0,1637344,841044,796300,23.42,1444901,947.0,32523,48.21,55.91,40.04,470360,399201,71159,1166984,1.Hindus,1216455,2.Muslims,405065,3.Christians,12477,1261.0,1261.0,904.0,1138.0,374
6,assam,dibrugarh,2001.0,110,22,35,0,35,57,37,20,3,41,0,19,0,1185072,613555,571517,12.43,956634,931.0,88337,68.96,77.3,59.95,472419,342708,129711,712653,1.Hindus,1075878,2.Muslims,53306,3.Christians,45040,1309.0,1309.0,1195.0,1169.0,263
7,assam,goalpara,2001.0,28,12,35,0,35,43,35,8,1,54,0,64,0,822035,420251,401784,23.07,755133,956.0,131800,58.03,64.86,50.85,273925,209928,63997,548110,1.Hindus,441516,2.Muslims,314157,3.Christians,64662,761.0,761.0,689.0,723.0,243
8,assam,golaghat,2001.0,53,2,30,0,30,44,40,4,0,23,0,26,0,946279,490286,455993,14.21,865141,930.0,93920,69.38,77.14,60.99,388640,269896,118744,557639,1.Hindus,813263,2.Muslims,74808,3.Christians,52277,1066.0,1066.0,595.0,769.0,87
9,assam,hailakandi,2001.0,18,4,24,0,24,36,34,2,2,27,0,28,0,542872,280513,262359,20.92,498787,935.0,821,59.64,68.24,50.46,179881,138216,41665,362991,1.Hindus,312849,2.Muslims,223191,3.Christians,5424,327.0,327.0,268.0,308.0,110
10,assam,jorhat,2001.0,40,22,42,0,42,37,28,9,2,44,0,48,0,999221,517015,482206,15.84,827901,933.0,123134,76.34,83.62,68.49,414348,285092,129256,584873,1.Hindus,927858,2.Muslims,47658,3.Christians,18610,787.0,787.0,650.0,717.0,215
11,assam,kamrup,2001.0,37,30,21,0,21,95,65,30,2,42,0,27,0,2522324,1326981,1195343,25.75,1614107,901.0,250393,74.16,81.16,66.31,842253,697810,144443,1680071,1.Hindus,1836153,2.Muslims,625002,3.Christians,44257,1342.0,1342.0,1042.0,1190.0,468
12,assam,karimganj,2001.0,32,20,33,0,33,42,8,34,1,9,0,30,0,1007976,517680,490296,21.35,934126,947.0,2901,66.24,74.69,57.28,303294,235016,68278,704682,1.Hindus,527214,2.Muslims,470708,3.Christians,8746,915.0,915.0,639.0,865.0,224
13,assam,kokrajhar,2001.0,87,27,14,0,14,41,12,29,0,37,0,20,0,905764,466191,439573,15.05,841823,943.0,304985,51.63,60.32,42.4,334849,234771,100078,570915,1.Hindus,594168,2.Muslims,184441,3.Christians,124270,951.0,951.0,704.0,906.0,211
14,assam,lakhimpur,2001.0,26,21,64,0,64,72,62,10,0,22,0,93,0,889010,455691,433319,18.34,823857,951.0,208864,68.56,77.06,59.59,497745,288052,209693,391265,1.Hindus,702881,2.Muslims,143505,3.Christians,36667,1139.0,1139.0,680.0,1046.0,211
15,assam,nagaon,2001.0,95,22,51,0,51,119,109,10,1,113,4,132,0,2314629,1190950,1123679,22.3,2036342,944.0,89394,61.73,68.27,54.74,727641,566195,161446,1586988,1.Hindus,1180267,2.Muslims,1106354,3.Christians,21473,1375.0,1374.0,1190.0,1257.0,480
16,assam,nalbari,2001.0,79,36,30,0,30,53,27,26,3,16,0,15,0,1148824,592375,556449,11.98,1121338,939.0,202577,67.23,76.56,57.26,383932,291665,92267,764892,1.Hindus,873749,2.Muslims,253842,3.Christians,18495,798.0,798.0,733.0,769.0,179
17,assam,sibsagar,2001.0,59,24,47,0,47,64,64,0,0,28,0,0,0,1051736,545476,506260,15.95,954557,928.0,41533,74.47,81.53,66.81,430523,287319,143204,621213,1.Hindus,927706,2.Muslims,85761,3.Christians,28488,866.0,866.0,772.0,825.0,317
18,assam,sonitpur,2001.0,86,25,53,0,53,87,80,7,1,43,0,99,0,1681513,871568,809945,17.8,1505719,929.0,195083,59.0,67.54,49.73,634723,465283,169440,1046790,1.Hindus,1287646,2.Muslims,268078,3.Christians,115623,1784.0,1784.0,1331.0,1372.0,235
