YEAR,person,Male,Female,growthinpopulation,urban,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,religion1 population,Religion2 Population,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,state,District,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,rural,Religion1,Religion2,religion3name,Medical facility
2001.0,1647201,848578,798623,18.53,941.0,56.24,64.83,47.07,517088,408537,108551,1130113,977943,662066,5267,1050.0,1050.0,775.0,967.0,assam,barpeta,64.0,5,28,0.0,28.0,105,88,17,10,29,0,95,0,1520333.0,1.Hindus,2.Muslims,3.Christians,430.0
2001.0,904835,465240,439595,12.23,945.0,59.33,67.67,50.44,293243,233087,60156,611592,535464,348573,18728,881.0,881.0,607.0,805.0,assam,bongaigaon,45.0,22,20,0.0,20.0,36,21,15,1,22,0,26,0,795053.0,1.Hindus,2.Muslims,3.Christians,112.0
2001.0,1444921,743042,701879,18.66,945.0,67.82,75.73,59.41,465734,364814,100920,979187,886761,522051,31306,1020.0,1020.0,741.0,902.0,assam,cachar,52.0,30,45,0.0,45.0,104,74,30,7,80,0,216,0,1243534.0,1.Hindus,2.Muslims,3.Christians,134.0
2001.0,1504320,773861,730459,15.79,944.0,55.44,63.91,46.4,527993,404428,123565,976327,868532,534658,97306,1319.0,1319.0,1032.0,1246.0,assam,darrang,61.0,13,48,0.0,48.0,64,47,17,9,56,0,37,0,1429492.0,1.Hindus,2.Muslims,3.Christians,356.0
2001.0,571944,294643,277301,18.93,941.0,64.48,74.41,53.86,250146,155431,94715,321798,548780,10533,6390,1236.0,1236.0,253.0,1068.0,assam,dhemaji,15.0,16,42,0.0,42.0,31,20,11,0,26,0,0,0,533112.0,1.Hindus,2.Muslims,3.Christians,83.0
2001.0,1637344,841044,796300,23.42,947.0,48.21,55.91,40.04,470360,399201,71159,1166984,1216455,405065,12477,1261.0,1261.0,904.0,1138.0,assam,dhubri,65.0,23,43,0.0,43.0,69,51,18,5,49,0,111,0,1444901.0,1.Hindus,2.Muslims,3.Christians,374.0
2001.0,1185072,613555,571517,12.43,931.0,68.96,77.3,59.95,472419,342708,129711,712653,1075878,53306,45040,1309.0,1309.0,1195.0,1169.0,assam,dibrugarh,110.0,22,35,0.0,35.0,57,37,20,3,41,0,19,0,956634.0,1.Hindus,2.Muslims,3.Christians,263.0
2001.0,822035,420251,401784,23.07,956.0,58.03,64.86,50.85,273925,209928,63997,548110,441516,314157,64662,761.0,761.0,689.0,723.0,assam,goalpara,28.0,12,35,0.0,35.0,43,35,8,1,54,0,64,0,755133.0,1.Hindus,2.Muslims,3.Christians,243.0
2001.0,946279,490286,455993,14.21,930.0,69.38,77.14,60.99,388640,269896,118744,557639,813263,74808,52277,1066.0,1066.0,595.0,769.0,assam,golaghat,53.0,2,30,0.0,30.0,44,40,4,0,23,0,26,0,865141.0,1.Hindus,2.Muslims,3.Christians,87.0
2001.0,542872,280513,262359,20.92,935.0,59.64,68.24,50.46,179881,138216,41665,362991,312849,223191,5424,327.0,327.0,268.0,308.0,assam,hailakandi,18.0,4,24,0.0,24.0,36,34,2,2,27,0,28,0,498787.0,1.Hindus,2.Muslims,3.Christians,110.0
